,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
82,Express Bus Terminal Station,6주,파미에스트리트,파미에스테이션맛집,파미에스테이션,파미에스테이션점,샤샤,스끼야끼,스키야키,스끼야끼맛집,스키야키맛집,샤브샤브,샤브샤브맛집,고기는사랑입니다,고속터미널,고속터미널역맛집,라크츄그램,,,,,,,,,,,,,,,,,,
83,Express Bus Terminal Station,6주,빌라드스파이시,고속터미널역맛집,파미에스테이션맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Express Bus Terminal Station,6주,텍사스데브라질,고속터미널역맛집,오랜만에,외출,다리굵기,똑같아,퓨,기여오,,,,,,,,,,,,,,,,,,,,,,,,,
85,Express Bus Terminal Station,6주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Express Bus Terminal Station,6주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Express Bus Terminal Station,6주,하프커피,버터크림라떼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Express Bus Terminal Station,6주,가이센,kaisen,일본요리,japanesecuisine,오마카세,omakase,히카리모노,사시미,사케,sake,쇼츄,shochu,반포동맛집,반포역맛집,교대역맛집,고속터미널역맛집,사평역맛집,seoul,korea,,,,,,,,,,,,,,
89,Express Bus Terminal Station,7주,그랑꼴라주,신세계백화점강남점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Express Bus Terminal Station,7주,쟈니로켓,쟈니로켓버거,센트럴시티맛집,고속터미널역맛집,고터맛집,딥치즈버거,햄버거,수제버거,미국식버거,,,,,,,,,,,,,,,,,,,,,,,,
91,Express Bus Terminal Station,7주,노랑통닭,노랑통닭마늘치킨,알싸한마늘치킨,돼지희,맛집스타그램,먹부림,맛스타그램,맛스타,맛있다그램,맛집소통,먹스타그램,맛있어,먹방,취향저격,오늘뭐먹지,야식추천,존맛탱,일상소통,음식소통,맛집소개,먹스타맞팔,먹스타소통,반포맛집추천,고속터미널역맛집,반포한강공원,노랑통닭반포점,고속터미널맛집,파미에스테이션맛집,치킨메뉴추천,치킨신메뉴,,,
92,Express Bus Terminal Station,7주,리미니,rimini,고터,뉴코아아울렛,뉴코아,고터맛집,뉴코아강남점,강남뉴코아,뉴코아맛집,반포,반포맛집,고속터미널,고속터미널맛집,반포역,고속터미널역,고속터미널역맛집,빠네,빠네파스타,빠네크림파스타,클래식치즈피자,,,,,,,,,,,,,
93,Express Bus Terminal Station,7주,베테랑,칼국수,쫄면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Express Bus Terminal Station,8주,먹스타그램,맛스타그램,jmt,고속터미널역맛집,고터맛집,혼밥,혼밥장인,모스버거,남반치킨버거,햄버거,햄버거맛집,감자튀김,감튀,,,,,,,,,,,,,,,,,,,,
95,Express Bus Terminal Station,8주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Express Bus Terminal Station,8주,커피더비어,구월동카페,모래내시장카페,골목카페,인천카페,인천맛집,인천파스타,시즌메뉴,구월동맛집,파스타맛집,파스타추천,에이드맛집,수제맛집,인천데이트,데이트추천,인천나들이추천,,,,,,,,,,,,,,,,,
97,Express Bus Terminal Station,8주,고속터미널역맛집,부천,신중동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Express Bus Terminal Station,8주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Express Bus Terminal Station,9주,업무미팅,뚝배기불고기,뚝불,고속터미널맛집,고속터미널역맛집,맛집투어,육백집,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Express Bus Terminal Station,9주,고터맛집,온유월,온유월2호점,반포맛집,고속터미널역맛집,반포역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Express Bus Terminal Station,9주,하프커피,고터맛집,소정의끼니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Express Bus Terminal Station,9주,고터치킨,고터맛집,야미또치킨,고속터미널술집,야미또치킨고속터미널점,고속터미널맛집,고터맛집추천,고터치맥,고속터미널역맛집,고속터미널역술집,,,,,,,,,,,,,,,,,,,,,,,
103,Express Bus Terminal Station,9주,고속터미널맛집,고속터미널역맛집,고속터미널맛집추천,고속터미널역맛집추천,파미에스테이션맛집,파미에스테이션,아이엠버거,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Express Bus Terminal Station,9주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Express Bus Terminal Station,9주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Express Bus Terminal Station,9주,명동얼큰수제비칼국수김밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Express Bus Terminal Station,9주,고속터미널맛집,고속터미널역맛집,쉑쉑버거,follow4like,follow,맞팔선팔환영,맞팔해용,먹스타맞팔,먹스타그램,먹팔,먹방투어,수제버거,햄버거,점심,소통해요,인친,,,,,,,,,,,,,,,,,
108,Express Bus Terminal Station,9주,내이름은맥주소현,카츠공방,카츠맛집,교대역,교대맛집,교대역맛집추천,교대맛집추천,고속터미널,고속터미널역맛집,고속터미널맛집,카츠,교대술집,교대역술집,먹스타그램,먹스타맞팔,,,,,,,,,,,,,,,,,,
109,Express Bus Terminal Station,9주,자니로켓,고속터미널역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Express Bus Terminal Station,10주,쉐이크쉑,쉑쉑,쉑쉑버거,고속터미널,고속터미널맛집,고속터미널꽃시장,고속터미널역,고속터미널역맛집,,,,,,,,,,,,,,,,,,,,,,,,,
111,Express Bus Terminal Station,10주,스트릿츄러스,아츄,반포맛집,반포역맛집,고속터미널맛집,고속터미널역맛집,고터맛집,고터역맛집,반포카페,반포역카페,고속터미널카페,고속터미널역카페,고터카페,고터역카페,고터아이스크림,고터역아이스크림,고속터미널아이스크림,고속터미널역아이스크림,고터츄러스,고터역츄러스,고속터미널츄러스,고속터미널역츄러스,,,,,,,,,,,
112,Express Bus Terminal Station,10주,육갑식당잠원직영점,민달푸드,서울맛집,맛집,육갑식당,서래마을맛집,고속터미널역맛집,서래마을고기집,고기,육갑,돼지고기,돼지갈비,소고기,소갈비,목살,꽃돼지,꽃살,삼겹살,냉면,항공샷,,,,,,,,,,,,,
113,Express Bus Terminal Station,10주,육갑식당서래직영점,민달푸드,서울맛집,맛집,육갑식당,서래마을맛집,고속터미널역맛집,서래마을고기집,고기,육갑,소고기,소갈비,목살,꽃돼지,냉면,항공샷,,,,,,,,,,,,,,,,,
114,Express Bus Terminal Station,10주,고속터미널역맛집,고속터미널맛집,고터맛집,파미에스테이션맛집,파미에스테이션데이트,고터데이트,고속터미널데이트,고터음식,차알,차알미엔,차알볶음밥,깐풍마늘가지새우,존맛,먹,먹스타그램,먹방,먹부림,먹방스타그램,먹스타,먹스타맞팔,또먹고싶다,,,,,,,,,,,,
115,Express Bus Terminal Station,11주,마루심,서초맛집,고터맛집,고속터미널역맛집,고속터미널맛집,장어덮밥,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Express Bus Terminal Station,10주,골뱅이쫄면,돈까스,참치김치볶음밥,강냉이,하트타임,잠원동맛집,고속터미널역맛집,고속터미널맛집,,,,,,,,,,,,,,,,,,,,,,,,,
117,Express Bus Terminal Station,10주,고속터미널역,모스버거,와규치즈버거,혼밥,혼밥장인,먹스타그램,맛스타그램,jmt,고터맛집,고속터미널역맛집,,,,,,,,,,,,,,,,,,,,,,,
118,Express Bus Terminal Station,10주,라멘,상수맛집,라멘트럭,동탄라멘,부산라멘,고속터미널,고속터미널역맛집,아멘,,,,,,,,,,,,,,,,,,,,,,,,,
119,Express Bus Terminal Station,10주,수제버거,바니시버거,바니쉬버거,청주수제버거,버거그루72,고속터미널역맛집,길버트버거앤프라이즈,길버트버거,슬로우먼데이,슬로우먼데이판교,판교수제버거,올데이버거,이천수제버거,다운타우너,다운타우너잠실,잠실수제버거,폴앤메리,폴앤메리버거,강릉수제버거,쉑쉑버거,쉐이크쉑,,,,,,,,,,,,
120,Express Bus Terminal Station,11주,고속터미널역맛집,고속터미널점심맛집,고속터미널역점심,강남고터맛집,서울고터맛집,반포쇼핑상가,낙곱전골,반포맛집,일번지육개장,,,,,,,,,,,,,,,,,,,,,,,,
121,Express Bus Terminal Station,11주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Express Bus Terminal Station,11주,아웃백,블랙라벨커플세트,투움바파스타,돼지희,맛집스타그램,먹부림,맛스타그램,맛스타,맛있다그램,맛집소통,먹스타그램,맛있어,먹방,취향저격,오늘뭐먹지,야식추천,존맛탱,일상소통,음식소통,맛집소개,먹스타맞팔,먹스타소통,outbacksteakhouse,아웃백스테이크하우스,블랙라벨랍스터커플세트,파미에스테이션맛집,고속터미널역맛집,스테이크맛집추천,스파이시투움바파스타,오지치즈후라이,,,
123,Express Bus Terminal Station,11주,돼지김치볶음밥,하트타임,잠원동맛집,고속터미널역맛집,고속터미널맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Express Bus Terminal Station,11주,muk,rim맛집,수향쌈밥,고속터미널,수향,쌈밥,된장찌개,쌈,제육볶음,제육볶음맛집,서울경부터미널,고속터미널맛집,고터맛집,고속터미널역맛집,고터맛집추천,쌈밥맛집,제육쌈밥,먹스타그램,서울맛집,먹스타맞팔,소통후맞팔,좋반,좋아요반사,답방가요,소통좋아요,,,,,,,,
125,Express Bus Terminal Station,11주,유린기,삼선짜짱,삼선짬뽕,먹고찍고,맛스타그램,먹스타그램,맛스타,선팔,맞팔,선팔맞팔,음식,food,중국성,잠원동맛집,고속터미널역맛집,잠원동중국집,고터맛집,고속터미널회식장소,고속터미널모임장소,잠원동배달,,,,,,,,,,,,,
126,Express Bus Terminal Station,12주,왤케맛있어,존맛탱,잠원동맛집,중국성,우리동네맛집,강남고속터미널맛집,반포맛집,반포중국집,고터맛집,고터중국집,중국성반포본점,고속터미널맛집,강남맛집,잠원동중국집,한강배달,고속터미널역맛집,인생맛집,잠원동회식장소,일상,점심,좋반,맞팔,,,,,,,,,,,
127,Express Bus Terminal Station,12주,타쿠미,타쿠미나가사키,강남맛집,고속터미널맛집,고속터미널역맛집,고터맛집,고속버스터미널,고터맛집추천,파미에스테이션맛집,고속버스터미널꽃시장,고터꽃시장,고속터미널꽃시장,인생돈가스,돈가스맛집,돈카츠,돈가츠,돈카츠맛집,카츠샌드,카츠샌드맛집,일본3대우동,고토우동,고터지하상가,고터3대맛집,일상공유,데일리그램,일상그램,,,,,,,
128,Express Bus Terminal Station,12주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Express Bus Terminal Station,12주,자갈치식당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Express Bus Terminal Station,12주,첫줄,중국성,잠원동맛집,중국성반포본점,잠원동중국집,고터맛집,고속터미널맛집,고터중식당,반포맛집,반포중식당,반포중국집,고속터미널역맛집,잠원맛집,한강배달,강남고속터미널맛집,한강맛집,짬뽕맛집,이집잘하네,존맛탱,좋반,팔로우백,jmt,먹스타그램,맛스타그램,소통,,,,,,,,
131,Express Bus Terminal Station,12주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Express Bus Terminal Station,12주,만끽치킨,만끽치킨반포점,고속터미널맛집,고속터미널역맛집,고터맛집,치킨맛집,치킨추천,foodstagram,f,뭐먹지,chicken,manggickchicken,manggick,치느님,해산물치킨,쉬림프치킨,베이비크랩치킨,문어치킨,갈릭치킨,치맥,한강맛집,자몽크림생맥주,카스,클라우드화이트,테라,진로이즈백,참이슬,처음처럼,청하,자몽에이슬,,,
133,Express Bus Terminal Station,12주,소이연남,서울,강남,고속터미널,성진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Express Bus Terminal Station,13주,만끽치킨,만끽치킨반포점,고속터미널맛집,고속터미널역맛집,고터맛집,치킨맛집,치킨추천,foodstagram,f,뭐먹지,뭐먹지그램,chicken,manggickchicken,manggick,치느님,해산물치킨,쉬림프치킨,베이비크랩치킨,문어치킨,갈릭치킨,만끽설맥,치맥,한강맛집,한강맛집추천,면역력강화,면역력키우기,건강이최고,,,,,,
