,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
73,Sapyeong Station,50주,불고기파니니,필라프김치베이컨,블루베리닭가슴살샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sapyeong Station,50주,엣토스아침,아파트조식,카츠동,파니니에그치즈,리코타닭가슴살샐러드,,,,,,,,,,,,,,,,,,,,,,,,
75,Sapyeong Station,50주,치킨데리야끼,파니니,월도프샐러드,엣토스아침,금요일아침,아침식사,,,,,,,,,,,,,,,,,,,,,,,
76,Sapyeong Station,50주,엣토스아침,반포리체,쉬림프필라프,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Sapyeong Station,51주,애견,강남,떠돌이개,사평역맛집,논현역맛집,논현맛집,반포래미안,떠돌이개,사평역,,,,,,,,,,,,,,,,,,,,
78,Sapyeong Station,51주,엣토스아침,치킨데리야끼,파니니,월도프샐러드,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sapyeong Station,51주,엣토스아침,햄프시드샐러드,수퍼푸드샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Sapyeong Station,52주,엣토스아침,베이컨계란덮밥,테이크아웃,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Sapyeong Station,52주,등심돈가스,엣토스아침,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Sapyeong Station,52주,엣토스아침,귀리안심샐러드,아파트조식,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Sapyeong Station,52주,필라프김치베이컨,엣토스아침,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Sapyeong Station,52주,파니니불고기,bulgogipanini,엣토스아침,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Sapyeong Station,52주,블루베리닭가슴살샐러드,아침샐러드,엣토스아침,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Sapyeong Station,52주,카츠동덮밥,엣토스버전,grab,오늘아침식사,,,,,,,,,,,,,,,,,,,,,,,,,
87,Sapyeong Station,52주,오늘아침식사,파니니에그치즈,조식메뉴,파니니조식,,,,,,,,,,,,,,,,,,,,,,,,,
88,Sapyeong Station,52주,엣토스메뉴,예약손님대기중,네임택,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Sapyeong Station,52주,엣토스메뉴,귀리안심샐러드,반포리체아파트,젠코카페,,,,,,,,,,,,,,,,,,,,,,,,,
90,Sapyeong Station,52주,엣토스메뉴,카츠동,마이키친,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Sapyeong Station,53주,엣토스,반포리체,아파트조식,고급아파트조식,,,,,,,,,,,,,,,,,,,,,,,,,
92,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Sapyeong Station,54주,조군맛집,강남맛집,서초맛집,삼겹살구이,하남돼지반포점,하남돼지,사평역,사평역맛집,zo9nn,,,,,,,,,,,,,,,,,,,,
94,Sapyeong Station,54주,출발,엣토스,마이키친,eatdrink,theothers,shopinkitchen,,,,,,,,,,,,,,,,,,,,,,,
95,Sapyeong Station,55주,엣토스,edtos,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Sapyeong Station,55주,80,엣토스키친,젠앤코젤,edtos,mykitchen,2ndkitchen,브런치펍,반포브런치,반포맛집,코젤다크,필스너우르켈,반포상가,반포리체,반포미도,반포자이,반포래미안아이파크,반포푸르지오써밋,삼풍아파트,서초맘,사평역맛집,반포고등학교,서원초등,혼맥,먹스타그램,슈바인스학세,반포학센,반포학세,브런치테이크아웃,
97,Sapyeong Station,62주,몰도바공화국,몰도비안와인,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Sapyeong Station,62주,마루심,반포맛집,장어덮밥맛집,하이체어있음,아기식탁의자있음,특대사이즈,장어한마리반,서래마을맛집,삼호가든사거리맛집,삼호가든맛집,고터맛집,고속터미널맛집,반포역맛집,사평역맛집,반포동맛집,,,,,,,,,,,,,,
99,Sapyeong Station,62주,커뮤니티시즌,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Sapyeong Station,64주,주52시간,가족과함께,집주변,젠코에서,사평역맛집,브런치펍,반포브런치,반포맛집,반포아파트,코젤다크,필스너우르켈,반포상가,삼호가든,반포리체,반포미도,반포자이,반포래미안아이파크,반포푸르지오써밋,삼풍아파트,서초맘,사평역,반포고등학교,서원초등학교,원명초등학교,혼맥,먹스타그램,커피스타그램,슈바인스학세,
