,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
846,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Heukseok Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Heukseok Station,52주,수목식당,흑석동맛집,중앙대맛집,중앙대학교맛집,동작구맛집,수목식당,동작맛집,흑석동맛집추천,흑석맛집,흑석시장맛집,중앙대맛집추천,흑석역맛집,중앙대입구맛집,서울흑석동맛집,서울중앙대맛집,흑석동라면,중앙대라면,흑석동수제비,중앙대수제비,흑석동칼국수,중앙대칼국수,백종원3대천왕,백종원,,,,,,,,
904,Heukseok Station,52주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Heukseok Station,52주,리앤홍,커피수업,커피클래스,핸드드립클래스,핸드드립수업,동작구카페,흑석동,흑석동맛집,흑석동카페,중대카페,현충원카페,흑석역카페,흑석역맛집,흑석동핸드드립,흑석동케익,원두판매,원두도매,흑석동비엔나,스페셜티원두,파나마게이샤,르완다에스포라,핸드드립커피,에티오피아프라간시아,디카페인,인생커피,홈카페,크렘브륄레,머랭쿠키,포르투갈에그타르트,,
