,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
682,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,연남동맛집,홍대맛집추천,합정삼겹살,합정역맛집,즉석떡볶이,상수동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정데이트,홍대맛집베스트10,비빔국수,이영자,홍대맛집추천,존맛탱,맛집스타그램,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집스타그램,합정고기집,영등포맛집,삼겹살맛집,상수동맛집,이영자맛집,홍대고기집,합정맛집추천,이영자,,,,,,,,,,,,,,,,,,,,,,,,,
685,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자,선유도,삼겹살맛집,홍대맛집탐방,합정데이트,합정고기집,차돌박이,상수동맛집,서교동맛집,JMT,,,,,,,,,,,,,,,,,,,,,,,,
686,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,비빔국수,합정데이트,차돌박이,홍대맛집추천,합정동맛집,홍대고기집,홍대맛집베스트10,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Seonyudo Station,6주,감자샐러드,추억의사라다,선유도역맛집,냉장고파먹기,오늘도냉장고털기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,냉삼초밥,즉석떡볶이,홍대맛집,당산맛집,상수동맛집,홍대맛집탐방,삼겹살맛집,홍대데이트,합정역맛집,영등포맛집,,,,,,,,,,,,,,,,,,,,,,,,
689,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,맛집스타그램,홍대고기집,합정데이트,당산맛집,홍대맛집베스트,홍대맛집탐방,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,삼겹살,선유도,홍대맛집베스트,합정삼겹살,홍대데이트,합정역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Seonyudo Station,6주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대데이트,오겹살맛집,이영자맛집,합정데이트,차돌박이,맛집스타그램,밥블레스유,선유도,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Seonyudo Station,7주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,비빔국수,홍대고기집,홍대삼겹살,삼겹살맛집,홍대맛집베스트,합정역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Seonyudo Station,7주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,밥블레스유,맛집스타그램,연남동맛집,홍대맛집베스트10,합정고기집,비빔국수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Seonyudo Station,7주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집,합정데이트,홍대맛집베스트10,오겹살,합정역맛집,영등포맛집,이영자,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
