,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
116,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Samseong Central Station,3주,삼성중앙역맛집,히가시노,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Samseong Central Station,3주,와일드콤,콤부차,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,
133,Samseong Central Station,3주,hatagaya,bambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Samseong Central Station,3주,삼성동맛집,삼성동이자카야,삼성동하루,삼성동소개팅,삼성동데이트,코엑스데이트,이자카야하루,선릉역맛집,오마카세,강남역하루,강남역이자카야,삼성역맛집,코엑스맛집,선릉역이자카야,삼성역이자카야,삼성동회식,선릉역회식,선릉이자카야,사시미,코엑스이자카야,삼성중앙역맛집,삼성중앙역이자카야,,,,,,,,,,,
135,Samseong Central Station,3주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Samseong Central Station,4주,강남사랑상품권,제로페이,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,
137,Samseong Central Station,4주,참치,회,스시,초밥,모임,접대,외국인접대,상견례,환갑,다랑원,신라다랑원,삼성중앙역맛집,삼성동맛집,삼성역맛집,선릉맛집,선릉역맛집,선정릉역맛집,코엑스맛집,봉은사맛집,참치맛집,강남참치,,,,,,,,,,,,
138,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Samseong Central Station,4주,삼성동맛집,삼성동이자카야,청담동맛집,코엑스맛집,삼성중앙역맛집,이자카야맛집,쾌적한환경,청결유지,맛있는저녁,란주쿠,하이볼맛집,킹크랩숯불구이,타카시미즈준마이,이태원화이팅,코로나19물러가라,instadaily,instapic,instafood,ranjuku,warayaki,,,,,,,,,,,,,
141,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Samseong Central Station,4주,삼성동맛집,삼성중앙역맛집,왕돈까스,삼성동돈까스,먹스타그램,먹방스타그램,먹스타,점심,돈까스,좋반,좋아요그램,좋아요테러,좋테,좋반환영,선팔,맞팔,선팔은곧맞팔,잡채,선팔하면맞팔가요,fff,lfl,daily,food,foodporn,먹스타그램,밥스타그램,밥상,경양식,,,,,
144,Samseong Central Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Samseong Central Station,4주,차돌삼합,코엑스맛집,삼성중앙역맛집,진대감,이영자맛집,삼성동고기집,차돌박이,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Samseong Central Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Samseong Central Station,4주,맛집을찾아서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Samseong Central Station,4주,홍새우,스시,참치,회,스시,초밥,모임,접대,외국인접대,상견례,환갑,다랑원,신라다랑원,삼성중앙역맛집,삼성동맛집,삼성역맛집,선릉맛집,선릉역맛집,선정릉역맛집,코엑스맛집,봉은사맛집,참치맛집,강남참치,,,,,,,,,,
150,Samseong Central Station,4주,스테이크,참치,회,스시,초밥,모임,접대,외국인접대,상견례,환갑,다랑원,신라다랑원,삼성중앙역맛집,삼성동맛집,삼성역맛집,선릉맛집,선릉역맛집,선정릉역맛집,코엑스맛집,봉은사맛집,참치맛집,강남참치,,,,,,,,,,,
151,Samseong Central Station,4주,킹크랩숯불구이,삼성동맛집,삼성동일식,삼성동이자카야,삼성중앙역맛집,란주쿠,청담동맛집,일본식짚불요리,짚불꼼장어,하이볼맛집,하이볼명가,가쿠빈하이볼,한정판사케,instadaily,instapic,instafood,foodie,foodstagram,ranjuku,warayaki,sushi,japanesedaining,kappo,,,,,,,,,,
152,Samseong Central Station,4주,삼성중앙역맛집,비야게레로,타코맛집,타코맛집추천,멕시코음식,멕시코스타일,호불호는있을듯,가격착하지않음,프리홀레스챠로스강추,,,,,,,,,,,,,,,,,,,,,,,,
153,Samseong Central Station,4주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Samseong Central Station,4주,사이드에이,사이드a,와인,안주,안주스타그램,분위기좋은술집,분위기좋은레스토랑,삼성중앙역맛집,삼성중앙역,회식,회식스타그램,회식장소,술스타그램,먹스타그램,먹스타,와인먹기좋은곳,삼성역맛집,,,,,,,,,,,,,,,,
155,Samseong Central Station,4주,루꼴라피자,알리오올리오,새우샐러드,사이드에이,삼성중앙역맛집,삼성중앙역카페,삼성동맛집,삼성동분위기깡패,라자냐맛집,삼성동데이트,삼성동파스타,테라스카페,삼성동심야식당,food,루꼴라피자,새우샐러드,알리오올리오,파스타,피자,먹스타그램,일상,daily,pizza,salad,pasta,,,,,,,,
156,Samseong Central Station,4주,참치,회,스시,초밥,모임,접대,외국인접대,상견례,환갑,다랑원,신라다랑원,삼성중앙역맛집,삼성동맛집,삼성역맛집,선릉맛집,선릉역맛집,선정릉역맛집,코엑스맛집,봉은사맛집,참치맛집,강남참치,,,,,,,,,,,,
157,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Samseong Central Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Samseong Central Station,4주,삼성동맛집,삼성동이자카야,삼성동하루,삼성동소개팅,삼성동데이트,코엑스데이트,이자카야하루,선릉역맛집,오마카세,선릉맛집,강남역하루,강남역이자카야,삼성역맛집,코엑스맛집,선릉역이자카야,삼성역이자카야,삼성동회식,선릉역회식,선릉이자카야,사시미,코엑스이자카야,삼성중앙역맛집,삼성중앙역이자카야,,,,,,,,,,
160,Samseong Central Station,4주,토요일은,콜키지프리,란주쿠,삼성동맛집,삼성동이자카야,삼성중앙역맛집,갈치숯불구이,하이볼맛집,가쿠빈하이볼,삼성동일식,청담동맛집,코엑스맛집,일본식짚불요리,짚불꼼장어,불의장인,이시카와셰프,instadaily,instapic,instafood,foodie,instasake,warayaki,instagood,ranjuku,winestagram,corkagefree,naturalwine,kappo,,,,,
161,Samseong Central Station,4주,과일컵,과일샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Samseong Central Station,4주,명인등심,꽃대신꽃등심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Samseong Central Station,4주,쓰리폰테이넌,삼분수,괴즈,크릭,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,
165,Samseong Central Station,4주,원더페일에일,크레프트브로스,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,
166,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Samseong Central Station,4주,명인등심,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Samseong Central Station,4주,삼성동맛집,삼성동이자카야,삼성동하루,삼성동소개팅,삼성동데이트,코엑스데이트,이자카야하루,선릉역맛집,오마카세,선릉맛집,강남역하루,강남역이자카야,삼성역맛집,코엑스맛집,선릉역이자카야,삼성역이자카야,삼성동회식,선릉역회식,선릉이자카야,사시미,코엑스이자카야,삼성중앙역맛집,삼성중앙역이자카야,,,,,,,,,,
169,Samseong Central Station,4주,카페싸이공,삼성중앙역,삼성중앙역맛집,분짜,반미,햄치즈반미,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Samseong Central Station,4주,beerflage,craftbeer,seoul,seoulfood,seoulfood,rawwine,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Samseong Central Station,5주,hatagaya,bambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Samseong Central Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Samseong Central Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Samseong Central Station,5주,맛집,맞팔선팔환영,맛스타,소통,좋아요,맛집추천,Japanesefood,food,foodie,jmt,instalike,fff,f4f,like,likeforlikes,instagood,foodphotography,lfl,,,,,,,,,,,,,,,
175,Samseong Central Station,5주,삼성중앙역맛집,삼성중앙역고깃집,삼성중앙역고기집,코엑스맛집,코엑스고기집,삼성동고깃집,삼성동맛집,삼성동회식장소,삼성동고기집,삼성중앙역회식,차돌삼합,진대감,진대감삼성점,,,,,,,,,,,,,,,,,,,,
176,Samseong Central Station,5주,차돌삼합,일상,차돌박이,삼성중앙역맛집,코엑스맛집,삼성동회식장소,삼성동맛집,삼성동고기집,진대감,이영자맛집,고기맛집,좋아요,lfl,진대감삼성,daily,,,,,,,,,,,,,,,,,,
177,Samseong Central Station,5주,크레프트브로스,슈퍼IPA,비어플라주,beerflage,삼성동맥주,삼성동수제맥주,수제맥주,craftbeer,선정릉역맥주,삼성중앙역맥주,삼성역맛집,선정릉역맛집,삼성중앙역맛집,삼성동맛집,선정릉역카페,대관문의,크레프트비어,대관,맥주,와인샵,와인,seoul,seoulfood,seoulfood,바틀샵,네추럴와인,내추럴와인,rawwine,,,,,
178,Samseong Central Station,5주,탄두리카,삼성동,삼성중앙역,맛집,삼성동맛집,삼성중앙역맛집,맛스타그램,먹스타그램,foodstagram,curry,,,,,,,,,,,,,,,,,,,,,,,
179,Samseong Central Station,5주,삼성동맛집,삼성동이자카야,삼성동하루,삼성동소개팅,삼성동데이트,코엑스데이트,이자카야하루,선릉역맛집,오마카세,선릉맛집,강남역하루,강남역이자카야,삼성역맛집,코엑스맛집,선릉역이자카야,삼성역이자카야,삼성동회식,선릉역회식,선릉이자카야,사시미,코엑스이자카야,삼성중앙역맛집,삼성중앙역이자카야,,,,,,,,,,
180,Samseong Central Station,5주,삼성중앙역맛집,삼성동고기집,삼성중앙역삼겹살,코엑스근처맛집,삼성중앙역고기집,김일도한판,김일도사람사는고깃집,진대감,삼겹살,항정살,목살,삼성역회식,코엑스테이트코스,,,,,,,,,,,,,,,,,,,,
181,Samseong Central Station,5주,멕시코음식,멕시칸음식,비야게레로,타코맛집,삼성중앙역맛집,삼성역맛집,강남맛집,villaguerrero,mexicanfood,seoulfood,seoulkorea,samseong,gangnam,칠라낄레,롱가니사,chilaquiles,longaniza,,,,,,,,,,,,,,,,
182,Samseong Central Station,5주,사이드에이,삼성중앙역맛집,삼성중앙역카페,삼성동맛집,삼성동분위기깡패,라자냐맛집,삼성동데이트,삼성동파스타,테라스카페,삼성동심야식당,,,,,,,,,,,,,,,,,,,,,,,
