,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
221,Airport Market Station,117주,꿀맛,현기증,홍스쭈꾸미공항점,공항시장역,공항시장역맛집,송정맛집,송정역맛집,방화동맛집,공항맛집,회식,외식,추천,맛집,매운쭈꾸미,쭈꾸미맛집,매운음식추천,koreanfood,food,spicyfood,tasty,tastyfood,foodie,,,,,,,,,,
222,Airport Market Station,118주,진짜,꿀맛,홍스쭈꾸미공항점,공항맛집,송정역맛집,공항시장역맛집,쭈꾸미맛집,매운음식,추천,회식,외식,먹스타그램,볶음밥,날치알,신세계,food,spicyfood,koreanfood,foodie,lol,,,,,,,,,,,,
223,Airport Market Station,118주,털게,공항시장역맛집,바다향기,서비스,어제,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Airport Market Station,118주,김포공항맛집에서,남다른감자탕,김포공항맛집,방화동맛집,공항시장역맛집,서울맛집,감자탕맛집,롯데몰,서울감자탕,서울맛집투어,가족모임장소,방화동회식장소,단체모임장소,생생정보통,,,,,,,,,,,,,,,,,,
225,Airport Market Station,121주,남다른감자탕,김포공항맛집,방화동맛집,공항시장역맛집,서울맛집,감자탕맛집,롯데몰,서울감자탕,서울맛집투어,가족모임장소,방화동회식장소,단체모임장소,생생정보통,,,,,,,,,,,,,,,,,,,
226,Airport Market Station,121주,남다른감자탕,김포공항맛집,방화동맛집,공항시장역맛집,서울맛집,감자탕맛집,롯데몰,서울감자탕,서울맛집투어,가족모임장소,방화동회식장소,단체모임장소,생생정보통,,,,,,,,,,,,,,,,,,,
227,Airport Market Station,121주,차돌집,송정역맛집,공항동맛집,차돌박이,공항시장역맛집,김포공항맛집,김포공항,송정역,공항동,공항시장역,숨겨진맛집,food,,,,,,,,,,,,,,,,,,,,
228,Airport Market Station,124주,럽스타그램,먹스타그램,여행스타그램,커플스타그램,커플,김포,김포공항,공항시장역,공항시장역맛집,맛집,할매국밥,뼈해장국,야식,제주도,비행기,,,,,,,,,,,,,,,,,
229,Airport Market Station,124주,남다른감자탕,김포공항맛집,방화동맛집,공항시장역맛집,서울맛집,감자탕맛집,롯데몰,서울감자탕,서울맛집투어,가족모임장소,방화동회식장소,단체모임장소,생생정보통,,,,,,,,,,,,,,,,,,,
230,Airport Market Station,124주,독감타파,독감예방,홍스쭈꾸미공항점,공항맛집,방화동맛집,공항시장역맛집,송정역맛집,맛집추천,쭈꾸미맛집,매운음식,술집,술집추천,술스타그램,외식,회식,모임장소,koreanfood,spicy,cool,tasty,tastyfood,foodstagram,yummy,,,,,,,,,
