,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
122,Songpa Naru Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Songpa Naru Station,2주,카레바시야,카레,방이동맛집,방이동먹자골목,혼밥,런치,점심,점심시간,방이시장맛집,송파나루역맛집,송리단길근처,,,,,,,,,,,,,,,,,,,,
124,Songpa Naru Station,2주,독립한지,1년만에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Songpa Naru Station,2주,모노렛,Monolet,모노가스,비후가스,나폴리탄스파게티,돈까스,돈카츠,송리단길,송리단길맛집,잠실맛집,잠실역맛집,송파맛집,송파나루맛집,송파나루역맛집,묵슐랭,,,,,,,,,,,,,,,,
126,Songpa Naru Station,2주,진슐랭,멘야하나비,마제소바,송리단길맛집,송파나루역맛집,송파나루맛집,방이동맛집,마제소바맛집,송리단길,,,,,,,,,,,,,,,,,,,,,,
127,Songpa Naru Station,2주,송리단길맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Songpa Naru Station,2주,병아리콩카레,새우크림카레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Songpa Naru Station,2주,카레바시야,카레,방이동맛집,방이동먹자골목,잠실맛집,송파맛집,혼밥,런치,점심,점심시간,방이시장맛집,송파나루역맛집,저녁밥,저녁식사,송리단길근처,,,,,,,,,,,,,,,,
130,Songpa Naru Station,2주,송리단길맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Songpa Naru Station,2주,송리단길맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Songpa Naru Station,2주,빽돈,방이동,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,
133,Songpa Naru Station,2주,빽돈,방이동,잠실역고기,방이동먹자골목고기,잠실역삼겹살,잠실역고기집,방이먹자골목삼겹살,송파나루맛집,방이동고기,한성백제역맛집,송파구청맛집,잠실방이동맛집,방이동고기집,송파나루역맛집,몽촌토성역맛집,방이동삼겹살,방이먹자골목,방이동먹자골목맛집,잠실역맛집,석촌호수,방이동맛집,,,,,,,,,,
134,Songpa Naru Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Songpa Naru Station,2주,잠실맛집,대게,5월,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Songpa Naru Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Songpa Naru Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Songpa Naru Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Songpa Naru Station,2주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
