,station,name,category,review,link
91,Suraksan Station,해주곰탕,한식,23,https://store.naver.com/restaurants/detail?entry=ple&id=18040694&query=%ED%95%B4%EC%A3%BC%EA%B3%B0%ED%83%95
92,Suraksan Station,명륜진사갈비 수락산점,"육류,고기요리",22,https://store.naver.com/restaurants/detail?entry=ple&id=1186157749&query=%EB%AA%85%EB%A5%9C%EC%A7%84%EC%82%AC%EA%B0%88%EB%B9%84%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
93,Suraksan Station,BHC치킨 수락산역점,"치킨,닭강정",8,https://store.naver.com/restaurants/detail?entry=ple&id=36029155&query=BHC%EC%B9%98%ED%82%A8%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
94,Suraksan Station,임금님보쌈,한식,21,https://store.naver.com/restaurants/detail?entry=ple&id=18065754&query=%EC%9E%84%EA%B8%88%EB%8B%98%EB%B3%B4%EC%8C%88
95,Suraksan Station,채선당 본사,샤브샤브,20,https://store.naver.com/restaurants/detail?entry=ple&id=34340293&query=%EC%B1%84%EC%84%A0%EB%8B%B9%20%EB%B3%B8%EC%82%AC
96,Suraksan Station,왕십리수락곱창,"곱창,막창,양",20,https://store.naver.com/restaurants/detail?entry=ple&id=37996930&query=%EC%99%95%EC%8B%AD%EB%A6%AC%EC%88%98%EB%9D%BD%EA%B3%B1%EC%B0%BD
97,Suraksan Station,구이나라 생선구이,생선구이,20,https://store.naver.com/restaurants/detail?entry=ple&id=20865503&query=%EA%B5%AC%EC%9D%B4%EB%82%98%EB%9D%BC%20%EC%83%9D%EC%84%A0%EA%B5%AC%EC%9D%B4
98,Suraksan Station,피자네플러스,피자,19,https://store.naver.com/restaurants/detail?entry=ple&id=1697141384&query=%ED%94%BC%EC%9E%90%EB%84%A4%ED%94%8C%EB%9F%AC%EC%8A%A4
99,Suraksan Station,팔선당,중식당,19,https://store.naver.com/restaurants/detail?entry=ple&id=1668961674&query=%ED%8C%94%EC%84%A0%EB%8B%B9
100,Suraksan Station,벽운식당,오리요리,18,https://store.naver.com/restaurants/detail?entry=ple&id=11854322&query=%EB%B2%BD%EC%9A%B4%EC%8B%9D%EB%8B%B9
101,Suraksan Station,지코바치킨 노원상계1호점,"치킨,닭강정",18,https://store.naver.com/restaurants/detail?entry=ple&id=37275090&query=%EC%A7%80%EC%BD%94%EB%B0%94%EC%B9%98%ED%82%A8%20%EB%85%B8%EC%9B%90%EC%83%81%EA%B3%841%ED%98%B8%EC%A0%90
102,Suraksan Station,천년만년,국수,17,https://store.naver.com/restaurants/detail?entry=ple&id=20826666&query=%EC%B2%9C%EB%85%84%EB%A7%8C%EB%85%84
103,Suraksan Station,육대장 상계점,"찌개,전골",17,https://store.naver.com/restaurants/detail?entry=ple&id=18650352&query=%EC%9C%A1%EB%8C%80%EC%9E%A5%20%EC%83%81%EA%B3%84%EC%A0%90
104,Suraksan Station,싱싱식당,한식,17,https://store.naver.com/restaurants/detail?entry=ple&id=37584768&query=%EC%8B%B1%EC%8B%B1%EC%8B%9D%EB%8B%B9
105,Suraksan Station,앗싸곱창 수락산점,"곱창,막창,양",16,https://store.naver.com/restaurants/detail?entry=ple&id=20788142&query=%EC%95%97%EC%8B%B8%EA%B3%B1%EC%B0%BD%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%A0%90
106,Suraksan Station,24시쉼터왕족발,"족발,보쌈",16,https://store.naver.com/restaurants/detail?entry=ple&id=33876364&query=24%EC%8B%9C%EC%89%BC%ED%84%B0%EC%99%95%EC%A1%B1%EB%B0%9C
107,Suraksan Station,이차돌 수락점,소고기구이,16,https://store.naver.com/restaurants/detail?entry=ple&id=1629213723&query=%EC%9D%B4%EC%B0%A8%EB%8F%8C%20%EC%88%98%EB%9D%BD%EC%A0%90
108,Suraksan Station,큰맘할매순대국 수락산역점,"순대,순댓국",15,https://store.naver.com/restaurants/detail?entry=ple&id=37127123&query=%ED%81%B0%EB%A7%98%ED%95%A0%EB%A7%A4%EC%88%9C%EB%8C%80%EA%B5%AD%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
109,Suraksan Station,무겐다이,돈가스,15,https://store.naver.com/restaurants/detail?entry=ple&id=1632522045&query=%EB%AC%B4%EA%B2%90%EB%8B%A4%EC%9D%B4
110,Suraksan Station,수락산감자탕&부대찌개,감자탕,15,https://store.naver.com/restaurants/detail?entry=ple&id=591825850&query=%EC%88%98%EB%9D%BD%EC%82%B0%EA%B0%90%EC%9E%90%ED%83%95%26%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C
111,Suraksan Station,리틀파스타 상계점,"스파게티,파스타전문",15,https://store.naver.com/restaurants/detail?entry=ple&id=1253271869&query=%EB%A6%AC%ED%8B%80%ED%8C%8C%EC%8A%A4%ED%83%80%20%EC%83%81%EA%B3%84%EC%A0%90
112,Suraksan Station,두찜 수락산역점,찜닭,15,https://store.naver.com/restaurants/detail?entry=ple&id=1694386300&query=%EB%91%90%EC%B0%9C%20%EC%88%98%EB%9D%BD%EC%82%B0%EC%97%AD%EC%A0%90
113,Suraksan Station,카페사계,카페,14,https://store.naver.com/restaurants/detail?entry=ple&id=37350426&query=%EC%B9%B4%ED%8E%98%EC%82%AC%EA%B3%84
114,Suraksan Station,남가네설악추어탕 상계점,추어탕,14,https://store.naver.com/restaurants/detail?entry=ple&id=13151577&query=%EB%82%A8%EA%B0%80%EB%84%A4%EC%84%A4%EC%95%85%EC%B6%94%EC%96%B4%ED%83%95%20%EC%83%81%EA%B3%84%EC%A0%90
115,Suraksan Station,리노커피,카페,14,https://store.naver.com/restaurants/detail?entry=ple&id=21272665&query=%EB%A6%AC%EB%85%B8%EC%BB%A4%ED%94%BC
116,Suraksan Station,황소야돼지야,소고기구이,14,https://store.naver.com/restaurants/detail?entry=ple&id=35708418&query=%ED%99%A9%EC%86%8C%EC%95%BC%EB%8F%BC%EC%A7%80%EC%95%BC
117,Suraksan Station,41st,카페,14,https://store.naver.com/restaurants/detail?entry=ple&id=36505258&query=41st
118,Suraksan Station,cafeHaRU,"카페,디저트",13,https://store.naver.com/restaurants/detail?entry=ple&id=34922894&query=cafeHaRU
119,Suraksan Station,달콤바스켓,"카페,디저트",13,https://store.naver.com/restaurants/detail?entry=ple&id=1780458104&query=%EB%8B%AC%EC%BD%A4%EB%B0%94%EC%8A%A4%EC%BC%93
120,Suraksan Station,24시전주명가콩나물국밥상계점,국밥,13,https://store.naver.com/restaurants/detail?entry=ple&id=1559263696&query=24%EC%8B%9C%EC%A0%84%EC%A3%BC%EB%AA%85%EA%B0%80%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD%EB%B0%A5%EC%83%81%EA%B3%84%EC%A0%90
