,station,name,review,category,link
2488,Anguk Station,낙원꽃분식,189,종합분식,https://store.naver.com/restaurants/detail?entry=ple&id=1451245457&query=%EB%82%99%EC%9B%90%EA%BD%83%EB%B6%84%EC%8B%9D
2489,Anguk Station,사과나무,187,한식,https://store.naver.com/restaurants/detail?entry=ple&id=11724868&query=%EC%82%AC%EA%B3%BC%EB%82%98%EB%AC%B4
2490,Anguk Station,잔치집,186,한식,https://store.naver.com/restaurants/detail?entry=ple&id=17915560&query=%EC%9E%94%EC%B9%98%EC%A7%91
2491,Anguk Station,롤인익선,184,"초밥,롤",https://store.naver.com/restaurants/detail?entry=ple&id=1131121705&query=%EB%A1%A4%EC%9D%B8%EC%9D%B5%EC%84%A0
2492,Anguk Station,담장옆에국화꽃CCOT 안녕인사동점,179,떡카페,https://store.naver.com/restaurants/detail?entry=ple&id=1313184140&query=%EB%8B%B4%EC%9E%A5%EC%98%86%EC%97%90%EA%B5%AD%ED%99%94%EA%BD%83CCOT%20%EC%95%88%EB%85%95%EC%9D%B8%EC%82%AC%EB%8F%99%EC%A0%90
2493,Anguk Station,오마래,175,양식,https://store.naver.com/restaurants/detail?entry=ple&id=469523238&query=%EC%98%A4%EB%A7%88%EB%9E%98
2494,Anguk Station,뉘조,173,한정식,https://store.naver.com/restaurants/detail?entry=ple&id=11631359&query=%EB%89%98%EC%A1%B0
2495,Anguk Station,사동면옥,169,냉면,https://store.naver.com/restaurants/detail?entry=ple&id=31558666&query=%EC%82%AC%EB%8F%99%EB%A9%B4%EC%98%A5
2496,Anguk Station,소문난마산아구,167,"아귀찜,해물찜",https://store.naver.com/restaurants/detail?entry=ple&id=37852829&query=%EC%86%8C%EB%AC%B8%EB%82%9C%EB%A7%88%EC%82%B0%EC%95%84%EA%B5%AC
2497,Anguk Station,카페포엠,165,카페,https://store.naver.com/restaurants/detail?entry=ple&id=19535385&query=%EC%B9%B4%ED%8E%98%ED%8F%AC%EC%97%A0
2498,Anguk Station,최대감네,159,한식,https://store.naver.com/restaurants/detail?entry=ple&id=19882235&query=%EC%B5%9C%EB%8C%80%EA%B0%90%EB%84%A4
2499,Anguk Station,스모어마켓 몬스터캠퍼스,159,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1106088306&query=%EC%8A%A4%EB%AA%A8%EC%96%B4%EB%A7%88%EC%BC%93%20%EB%AA%AC%EC%8A%A4%ED%84%B0%EC%BA%A0%ED%8D%BC%EC%8A%A4
2500,Anguk Station,간판없는 김치찌개집,157,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=21057056&query=%EA%B0%84%ED%8C%90%EC%97%86%EB%8A%94%20%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C%EC%A7%91
2501,Anguk Station,브루3.14,154,피자,https://store.naver.com/restaurants/detail?entry=ple&id=35150412&query=%EB%B8%8C%EB%A3%A83.14
2502,Anguk Station,티테라피,154,카페,https://store.naver.com/restaurants/detail?entry=ple&id=17929286&query=%ED%8B%B0%ED%85%8C%EB%9D%BC%ED%94%BC
2503,Anguk Station,비밀정원,154,차,https://store.naver.com/restaurants/detail?entry=ple&id=38014878&query=%EB%B9%84%EB%B0%80%EC%A0%95%EC%9B%90
2504,Anguk Station,47번가찻집,152,차,https://store.naver.com/restaurants/detail?entry=ple&id=37890233&query=47%EB%B2%88%EA%B0%80%EC%B0%BB%EC%A7%91
2505,Anguk Station,남도식객,151,한식,https://store.naver.com/restaurants/detail?entry=ple&id=39757759&query=%EB%82%A8%EB%8F%84%EC%8B%9D%EA%B0%9D
2506,Anguk Station,서촌양과자점 레,151,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=1535421172&query=%EC%84%9C%EC%B4%8C%EC%96%91%EA%B3%BC%EC%9E%90%EC%A0%90%20%EB%A0%88
2507,Anguk Station,툇마루집된장예술,150,비빔밥,https://store.naver.com/restaurants/detail?entry=ple&id=11592704&query=%ED%88%87%EB%A7%88%EB%A3%A8%EC%A7%91%EB%90%9C%EC%9E%A5%EC%98%88%EC%88%A0
2508,Anguk Station,더하루 트윈트리점,146,푸드코트,https://store.naver.com/restaurants/detail?entry=ple&id=1452735042&query=%EB%8D%94%ED%95%98%EB%A3%A8%20%ED%8A%B8%EC%9C%88%ED%8A%B8%EB%A6%AC%EC%A0%90
2509,Anguk Station,마음을담아내면,145,양식,https://store.naver.com/restaurants/detail?entry=ple&id=1645287357&query=%EB%A7%88%EC%9D%8C%EC%9D%84%EB%8B%B4%EC%95%84%EB%82%B4%EB%A9%B4
2510,Anguk Station,인사동 팔도집,145,"해물,생선요리",https://store.naver.com/restaurants/detail?entry=ple&id=37623771&query=%EC%9D%B8%EC%82%AC%EB%8F%99%20%ED%8C%94%EB%8F%84%EC%A7%91
2511,Anguk Station,수요일,144,차,https://store.naver.com/restaurants/detail?entry=ple&id=17915934&query=%EC%88%98%EC%9A%94%EC%9D%BC
2512,Anguk Station,충식당,129,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1971035855&query=%EC%B6%A9%EC%8B%9D%EB%8B%B9
2513,Anguk Station,와이엔,141,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1874692559&query=%EC%99%80%EC%9D%B4%EC%97%94
2514,Anguk Station,만수옥,139,한식,https://store.naver.com/restaurants/detail?entry=ple&id=11712442&query=%EB%A7%8C%EC%88%98%EC%98%A5
2515,Anguk Station,오리지널시카고피자 삼청동점,135,피자,https://store.naver.com/restaurants/detail?entry=ple&id=37001290&query=%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%EC%8B%9C%EC%B9%B4%EA%B3%A0%ED%94%BC%EC%9E%90%20%EC%82%BC%EC%B2%AD%EB%8F%99%EC%A0%90
2516,Anguk Station,반타이,135,태국음식,https://store.naver.com/restaurants/detail?entry=ple&id=37742372&query=%EB%B0%98%ED%83%80%EC%9D%B4
2517,Anguk Station,처마끝하늘풍경,133,한정식,https://store.naver.com/restaurants/detail?entry=ple&id=368203695&query=%EC%B2%98%EB%A7%88%EB%81%9D%ED%95%98%EB%8A%98%ED%92%8D%EA%B2%BD
2518,Anguk Station,채식요리전문점 오세계향,133,한식,https://store.naver.com/restaurants/detail?entry=ple&id=12053647&query=%EC%B1%84%EC%8B%9D%EC%9A%94%EB%A6%AC%EC%A0%84%EB%AC%B8%EC%A0%90%20%EC%98%A4%EC%84%B8%EA%B3%84%ED%96%A5
2519,Anguk Station,오가다 인사동점,132,차,https://store.naver.com/restaurants/detail?entry=ple&id=32566248&query=%EC%98%A4%EA%B0%80%EB%8B%A4%20%EC%9D%B8%EC%82%AC%EB%8F%99%EC%A0%90
2520,Anguk Station,도모다찌라멘,132,일본식라면,https://store.naver.com/restaurants/detail?entry=ple&id=1215492646&query=%EB%8F%84%EB%AA%A8%EB%8B%A4%EC%B0%8C%EB%9D%BC%EB%A9%98
2521,Anguk Station,두가헌 레스토랑,132,이탈리아음식,https://store.naver.com/restaurants/detail?entry=ple&id=33315120&query=%EB%91%90%EA%B0%80%ED%97%8C%20%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91
2522,Anguk Station,맛도리찬 & 개념떡볶이,131,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1646729728&query=%EB%A7%9B%EB%8F%84%EB%A6%AC%EC%B0%AC%20%26%20%EA%B0%9C%EB%85%90%EB%96%A1%EB%B3%B6%EC%9D%B4
2523,Anguk Station,장군족발보쌈,131,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=11613965&query=%EC%9E%A5%EA%B5%B0%EC%A1%B1%EB%B0%9C%EB%B3%B4%EC%8C%88
2524,Anguk Station,비엣 꽌,130,베트남음식,https://store.naver.com/restaurants/detail?entry=ple&id=37704349&query=%EB%B9%84%EC%97%A3%20%EA%BD%8C
2525,Anguk Station,인사동두부마을,129,두부요리,https://store.naver.com/restaurants/detail?entry=ple&id=11820259&query=%EC%9D%B8%EC%82%AC%EB%8F%99%EB%91%90%EB%B6%80%EB%A7%88%EC%9D%84
2526,Anguk Station,베이징코야,128,중식당,https://store.naver.com/restaurants/detail?entry=ple&id=11592733&query=%EB%B2%A0%EC%9D%B4%EC%A7%95%EC%BD%94%EC%95%BC
2527,Anguk Station,정사장,127,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=38277673&query=%EC%A0%95%EC%82%AC%EC%9E%A5
2528,Anguk Station,봉평골,126,오리요리,https://store.naver.com/restaurants/detail?entry=ple&id=13468256&query=%EB%B4%89%ED%8F%89%EA%B3%A8
2529,Anguk Station,아이디어스 스토어,126,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1844059951&query=%EC%95%84%EC%9D%B4%EB%94%94%EC%96%B4%EC%8A%A4%20%EC%8A%A4%ED%86%A0%EC%96%B4
2530,Anguk Station,버거뱅,126,햄버거,https://store.naver.com/restaurants/detail?entry=ple&id=37282209&query=%EB%B2%84%EA%B1%B0%EB%B1%85
2531,Anguk Station,소적두삼청동외가,125,카페,https://store.naver.com/restaurants/detail?entry=ple&id=36342503&query=%EC%86%8C%EC%A0%81%EB%91%90%EC%82%BC%EC%B2%AD%EB%8F%99%EC%99%B8%EA%B0%80
