,station,name,category,review,url
51,Deokjeong Station,히트노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1782793050&query=%ED%9E%88%ED%8A%B8%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
52,Deokjeong Station,필노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=36391411&query=%ED%95%84%EB%85%B8%EB%9E%98%EB%B0%A9
53,Deokjeong Station,119노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37477714&query=119%EB%85%B8%EB%9E%98%EB%B0%A9
54,Deokjeong Station,K팝노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=66495225&query=K%ED%8C%9D%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
55,Deokjeong Station,블루노래방,요리주점,[],https://store.naver.com/restaurants/detail?entry=ple&id=1274311062&query=%EB%B8%94%EB%A3%A8%EB%85%B8%EB%9E%98%EB%B0%A9
56,Deokjeong Station,퀸스노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=36755049&query=%ED%80%B8%EC%8A%A4%EB%85%B8%EB%9E%98%EB%B0%A9
57,Deokjeong Station,민트노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=18297926&query=%EB%AF%BC%ED%8A%B8%EB%85%B8%EB%9E%98%EB%B0%A9
58,Deokjeong Station,히트노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1782793050&query=%ED%9E%88%ED%8A%B8%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
59,Deokjeong Station,필노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=36391411&query=%ED%95%84%EB%85%B8%EB%9E%98%EB%B0%A9
60,Deokjeong Station,119노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37477714&query=119%EB%85%B8%EB%9E%98%EB%B0%A9
61,Deokjeong Station,K팝노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=66495225&query=K%ED%8C%9D%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
62,Deokjeong Station,블루노래방,요리주점,[],https://store.naver.com/restaurants/detail?entry=ple&id=1274311062&query=%EB%B8%94%EB%A3%A8%EB%85%B8%EB%9E%98%EB%B0%A9
63,Yangju Station,탑 코인 노래 연습장,노래방,1,https://store.naver.com/restaurants/detail?entry=ple&id=1672436606&query=%ED%83%91%20%EC%BD%94%EC%9D%B8%20%EB%85%B8%EB%9E%98%20%EC%97%B0%EC%8A%B5%EC%9E%A5
64,Yangju Station,위아,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1339401156&query=%EC%9C%84%EC%95%84
65,Yangju Station,팝콘노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1477863589&query=%ED%8C%9D%EC%BD%98%EB%85%B8%EB%9E%98%EB%B0%A9
66,Yangju Station,둘리노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=37480883&query=%EB%91%98%EB%A6%AC%EB%85%B8%EB%9E%98%EB%B0%A9
67,Yangju Station,노블레스노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1952293397&query=%EB%85%B8%EB%B8%94%EB%A0%88%EC%8A%A4%EB%85%B8%EB%9E%98%EB%B0%A9
68,Yangju Station,월드노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1284158719&query=%EC%9B%94%EB%93%9C%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
69,Yangju Station,보스노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=36749961&query=%EB%B3%B4%EC%8A%A4%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
70,Yangju Station,헬로노래방,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1214048681&query=%ED%97%AC%EB%A1%9C%EB%85%B8%EB%9E%98%EB%B0%A9
71,Yangju Station,K ZONE 코인노래연습장,노래방,[],https://store.naver.com/restaurants/detail?entry=ple&id=1989220813&query=K%20ZONE%20%EC%BD%94%EC%9D%B8%EB%85%B8%EB%9E%98%EC%97%B0%EC%8A%B5%EC%9E%A5
72,Nokyang Station,탑 코인 노래 연습장,노래방,1,https://store.naver.com/restaurants/detail?entry=ple&id=1672436606&query=%ED%83%91%20%EC%BD%94%EC%9D%B8%20%EB%85%B8%EB%9E%98%20%EC%97%B0%EC%8A%B5%EC%9E%A5
