,station,name,category,review
302,Samseong Central Station,선릉성종왕비정현왕후릉,"릉,묘,총",7
303,Samseong Central Station,화랑미술제,전시관,5
304,Bongeunsa Station,코엑스 Hall C,전시관,999+
305,Bongeunsa Station,코엑스아쿠아리움,아쿠아리움,999+
306,Bongeunsa Station,코엑스 Hall D,전시관,999+
307,Bongeunsa Station,코엑스그랜드볼룸,전시관,195
308,Bongeunsa Station,서울국제유아교육전,전시관,68
309,Bongeunsa Station,서울국제스포츠레저산업전,전시관,60
310,Bongeunsa Station,코엑스 컨퍼런스룸 E,전시관,47
311,Bongeunsa Station,서울오토살롱,전시관,37
312,Bongeunsa Station,씨 페스티벌,"축제,행사",34
313,Bongeunsa Station,청담배수지공원,근린공원,29
314,Bongeunsa Station,현대아트홀,전시관,18
315,Bongeunsa Station,세계골프역사박물관,박물관,15
316,Bongeunsa Station,무역센터겨울축제,"축제,행사",13
317,Bongeunsa Station,서울머니쇼,전시관,8
318,Bongeunsa Station,화랑미술제,전시관,5
319,Bongeunsa Station,백제예술대학아트센터,전시관,4
320,Bongeunsa Station,SIDEX,전시관,4
321,Bongeunsa Station,GalaxyZone,체험여행,3
322,Bongeunsa Station,설맞이명절선물상품전,전시관,2
323,Bongeunsa Station,봉은사 템플스테이,템플스테이,2
324,Sports Complex Station,아시아공원,근린공원,77
325,Sports Complex Station,잠실LG.두산홈야구장중앙매표소,"관리,안내",7
326,Sports Complex Station,잠실종합운동장주차장매표소,"관리,안내",5
327,Samjeon Station,히어로플레이파크 천안점,"키즈카페,실내놀이터",167
328,Samjeon Station,하오하오,중식당,134
329,Samjeon Station,용곡공원,근린공원,41
330,Samjeon Station,방아다리공원,근린공원,27
331,Samjeon Station,불당동카페거리,"거리,골목",22
332,Samjeon Station,지산체육공원,"도시,테마공원",18
333,Samjeon Station,불당천,"강,하천",17
334,Samjeon Station,불당동유적공원,근린공원,5
335,Samjeon Station,한국토지주택공사아산신도시홍보관,전시관,4
336,Samjeon Station,천안시관광안내소 천안아산역점,관광안내소,2
337,Samjeon Station,한글공원,근린공원,1
338,Samjeon Station,갤러리아장,미술관,0
339,Samjeon Station,넥스와이즈,체험여행,0
340,Seokchon Station,석촌호수,"호수,연못,저수지",999+
341,Seokchon Station,송리단길,도보코스,588
342,Seokchon Station,롯데월드매직아일랜드,테마파크,405
343,Seokchon Station,석촌호수(동호),"호수,연못,저수지",380
344,Seokchon Station,석촌호수(서호),"호수,연못,저수지",178
345,Seokchon Station,송파책박물관,박물관,113
346,Seokchon Station,삼전도비,기념물,66
347,Seokchon Station,석촌동백제초기적석총,문화재,54
348,Seokchon Station,송파나루공원,근린공원,50
349,Seokchon Station,서울석촌동고분군,문화재,38
350,Seokchon Station,송파관광정보센터,관광안내소,21
351,Seokchon Station,석촌호수팔각정,부속시설,18
352,Seokchon Station,롯데월드매직아일랜드매직캐슬,부속건물,16
353,Seokchon Station,송파근린공원,근린공원,11
354,Seokchon Station,롯데월드매직아일랜드안내데스크,부속건물,11
355,Seokchon Station,롯데월드매직아일랜드아트란티스,부속건물,10
356,Seokchon Station,롯데월드너구리상,부속건물,10
357,Seokchon Station,롯데월드매직아일랜드자이로스윙,부속건물,9
358,Seokchon Station,송파나루길,도보코스,9
359,Seokchon Station,롯데월드매직아일랜드자이로드롭,부속건물,9
360,Olympic Park Station,올림픽공원 만남의광장,광장,60
361,Olympic Park Station,올림픽공원테니스경기장,부속시설,55
362,Olympic Park Station,올림픽광장,근린공원,12
363,Olympic Park Station,송파둘레길성내천길,도보코스,1
364,Olympic Park Station,종합안내소,관광안내소,1
365,Olympic Park Station,올림픽공원동2문매표소,"관리,안내",0
366,Amsa Station,광나루공원,근린공원,8
367,Amsa Station,광나루한강공원안내센터,부속시설,2
368,Amsa Station,광나루한강공원농구장,부속시설,0
369,Cheonho Station,강풀만화거리,"거리,골목",360
370,Cheonho Station,천호동로데오거리,"거리,골목",121
371,Cheonho Station,풍납토성,성곽명,96
372,Cheonho Station,천호문구완구거리,"거리,골목",77
373,Cheonho Station,성내동주꾸미골목,먹자거리,43
374,Cheonho Station,우노에뮤지엄,"꽃집,꽃배달",23
375,Cheonho Station,풍납근린공원,근린공원,4
376,Cheonho Station,천호동족발골목,먹자거리,4
377,Cheonho Station,화랑어린이공원,"군립,시립공원",0
378,Cheonho Station,풍납타이어공원,근린공원,0
379,Gangdong-gu Office Station,올림픽공원,"도시,테마공원",999+
380,Gangdong-gu Office Station,나홀로나무,"관람,체험",885
381,Gangdong-gu Office Station,올림픽공원내 88 잔디마당,부속시설,619
382,Gangdong-gu Office Station,몽촌토성,성곽명,514
383,Gangdong-gu Office Station,강풀만화거리,"거리,골목",360
384,Gangdong-gu Office Station,천호동로데오거리,"거리,골목",121
385,Gangdong-gu Office Station,몽촌역사관,박물관,96
386,Gangdong-gu Office Station,풍납토성,성곽명,96
387,Gangdong-gu Office Station,서울올림픽기념관,"기념관,생가",87
388,Gangdong-gu Office Station,올림픽공원88호수수변무대,부속시설,78
389,Gangdong-gu Office Station,천호문구완구거리,"거리,골목",77
390,Gangdong-gu Office Station,서울창의마을 풍납캠프,"관람,체험",75
391,Gangdong-gu Office Station,성내동주꾸미골목,먹자거리,43
392,Gangdong-gu Office Station,성내유수지체육공원,"도시,테마공원",32
393,Gangdong-gu Office Station,풍납백제문화공원,근린공원,28
394,Gangdong-gu Office Station,올림픽공원피크닉장,부속시설,27
395,Gangdong-gu Office Station,몽촌토성 망월봉,지역명소,25
396,Gangdong-gu Office Station,우노에뮤지엄,"꽃집,꽃배달",23
397,Gangdong-gu Office Station,성내하니공원,근린공원,21
398,Gangdong-gu Office Station,광나루한강공원축구장,부속시설,15
399,Mongchontoseong Station,한미사진미술관,미술관,212
400,Mongchontoseong Station,대독장 송파방이점,"찌개,전골",9
401,Mongchontoseong Station,방이동숙박촌,"거리,골목",2
402,Jamsil Station,롯데월드,테마파크,999+
403,Jamsil Station,석촌호수,"호수,연못,저수지",999+
404,Jamsil Station,롯데월드 아쿠아리움,아쿠아리움,999+
405,Jamsil Station,서울스카이 (제2롯데월드),전망대,999+
406,Jamsil Station,롯데뮤지엄,미술관,999+
407,Jamsil Station,송리단길,도보코스,588
408,Jamsil Station,에비뉴엘아트홀,전시관,412
409,Jamsil Station,롯데월드매직아일랜드,테마파크,405
410,Jamsil Station,석촌호수(동호),"호수,연못,저수지",380
411,Jamsil Station,방이동먹자골목,먹자거리,367
412,Jamsil Station,롯데월드민속박물관,박물관,227
413,Jamsil Station,석촌호수벚꽃축제,꽃축제,206
414,Jamsil Station,석촌호수(서호),"호수,연못,저수지",178
415,Jamsil Station,석촌호수(동호)수변무대,부속시설,112
416,Jamsil Station,삼전도비,기념물,66
417,Jamsil Station,한국광고박물관,박물관,59
418,Jamsil Station,송파나루공원,근린공원,50
419,Jamsil Station,송파관광정보센터,관광안내소,21
420,Jamsil Station,석촌호수팔각정,부속시설,18
421,Jamsil Station,롯데월드매직아일랜드매직캐슬,부속건물,16
422,Songpa Station,송파책박물관,박물관,113
423,Songpa Station,송이공원,"도시,테마공원",12
424,Songpa Station,한양공원,근린공원,7
425,Songpa Station,마을마당공원,근린공원,4
426,Songpa Station,송파구_1711-03서울유아숲체험장,"관람,체험",0
427,Garak Market Station,송파책박물관,박물관,113
428,Garak Market Station,문정동로데오거리,도보코스,100
429,Garak Market Station,가락근린공원,근린공원,18
430,Garak Market Station,비석거리공원,"도시,테마공원",14
431,Garak Market Station,건너말공원,근린공원,10
432,Garak Market Station,탄천어울림공원,근린공원,3
433,Garak Market Station,숯내공원,근린공원,2
434,Garak Market Station,훼밀리근린공원,근린공원,1
435,Garak Market Station,건너말공원관리사무소,관리사무소,0
436,Garak Market Station,어반플레이스,"레저,테마",0
437,Garak Market Station,한국공예문화체험지원센타,체험여행,0
438,Garak Market Station,호돌이공원,근린공원,0
439,Munjeong Station,문정동로데오거리,도보코스,100
440,Munjeong Station,문정근린공원,근린공원,36
441,Munjeong Station,연화근린공원,근린공원,23
442,Munjeong Station,건너말공원,근린공원,10
443,Munjeong Station,소리공원,근린공원,4
444,Munjeong Station,건너말공원관리사무소,관리사무소,0
445,Munjeong Station,어반플레이스,"레저,테마",0
446,Zhang Ziyi,송파파크하비오워터킹덤워터파크&찜질스파,워터파크,393
447,Zhang Ziyi,키즈잼 송파센터,"키즈카페,실내놀이터",8
448,Zhang Ziyi,한우물근린공원,근린공원,2
449,Zhang Ziyi,플래뮤아트센터 큐브어린이뮤지엄,미술관,1
450,Zhang Ziyi,코이에듀,체험여행,0
451,Zhang Ziyi,드라마[상류사회]촬영지,촬영장소,0
452,Zhang Ziyi,플래뮤큐브 어린이 뮤지엄,미술관,0
453,Bokjeong Station,송파파크하비오워터킹덤워터파크&찜질스파,워터파크,393
454,Bokjeong Station,래미안갤러리,전시관,158
455,Bokjeong Station,율현공원,근린공원,39
456,Bokjeong Station,복정동 분수광장,광장,22
457,Bokjeong Station,한국무형유산진흥센터,문화재,17
458,Bokjeong Station,복정동어울림빛축제,"축제,행사",10
459,Bokjeong Station,키즈잼 송파센터,"키즈카페,실내놀이터",8
460,Bokjeong Station,글샘공원,근린공원,5
461,Bokjeong Station,율현공원,근린공원,5
462,Bokjeong Station,소리공원,근린공원,4
463,Bokjeong Station,장수공원,근린공원,3
464,Bokjeong Station,한우물근린공원,근린공원,2
465,Bokjeong Station,송파구자원순환공원,근린공원,2
466,Bokjeong Station,플래뮤아트센터 큐브어린이뮤지엄,미술관,1
467,Bokjeong Station,피에스타PC방 성남동서울대점,PC방,1
468,Bokjeong Station,코이에듀,체험여행,0
469,Bokjeong Station,아희레저,"관람,체험",0
470,Bokjeong Station,동서울대학교학산탑,기념물,0
471,Bokjeong Station,근린공원,근린공원,0
472,Bokjeong Station,양원군이희묘,"릉,묘,총",0
473,Sanseong Station,희망대공원,근린공원,74
474,Sanseong Station,단대공원,"도시,테마공원",25
475,Sanseong Station,닭죽촌민속마을,먹자거리,14
476,Sanseong Station,성남누비길1코스,도보코스,11
477,Sanseong Station,위례근린공원,근린공원,9
478,Sanseong Station,현충탑,기념물,2
479,Sanseong Station,논골대안공간 틈,전시관,2
480,Sanseong Station,영장공원,근린공원,2
481,Sanseong Station,영장근린공원,근린공원,1
482,Sanseong Station,희망대공원농구장,부속시설,1
