,name,review,category,link
119,브릭스파크,84,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1130147563&query=%EB%B8%8C%EB%A6%AD%EC%8A%A4%ED%8C%8C%ED%81%AC
120,똥찌비 천호본점,83,요리주점,https://store.naver.com/restaurants/detail?entry=ple&id=34870342&query=%EB%98%A5%EC%B0%8C%EB%B9%84%20%EC%B2%9C%ED%98%B8%EB%B3%B8%EC%A0%90
121,쉼 힐링카페,82,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1733053437&query=%EC%89%BC%20%ED%9E%90%EB%A7%81%EC%B9%B4%ED%8E%98
122,독도쭈꾸미3호점,82,주꾸미요리,https://store.naver.com/restaurants/detail?entry=ple&id=34641817&query=%EB%8F%85%EB%8F%84%EC%AD%88%EA%BE%B8%EB%AF%B83%ED%98%B8%EC%A0%90
123,노랑통닭 천호점,80,"치킨,닭강정",https://store.naver.com/restaurants/detail?entry=ple&id=38227867&query=%EB%85%B8%EB%9E%91%ED%86%B5%EB%8B%AD%20%EC%B2%9C%ED%98%B8%EC%A0%90
124,길동우동집 천호직영점,79,"우동,소바",https://store.naver.com/restaurants/detail?entry=ple&id=37434528&query=%EA%B8%B8%EB%8F%99%EC%9A%B0%EB%8F%99%EC%A7%91%20%EC%B2%9C%ED%98%B8%EC%A7%81%EC%98%81%EC%A0%90
125,종로곱창,79,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=1496908074&query=%EC%A2%85%EB%A1%9C%EA%B3%B1%EC%B0%BD
126,스시현,79,일식당,https://store.naver.com/restaurants/detail?entry=ple&id=1631355713&query=%EC%8A%A4%EC%8B%9C%ED%98%84
127,부추곱창 천호점,79,"곱창,막창,양",https://store.naver.com/restaurants/detail?entry=ple&id=960131835&query=%EB%B6%80%EC%B6%94%EA%B3%B1%EC%B0%BD%20%EC%B2%9C%ED%98%B8%EC%A0%90
128,육회공작소 천호점,77,소고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=37092784&query=%EC%9C%A1%ED%9A%8C%EA%B3%B5%EC%9E%91%EC%86%8C%20%EC%B2%9C%ED%98%B8%EC%A0%90
129,디어마이오븐,77,베이커리,https://store.naver.com/restaurants/detail?entry=ple&id=1265613417&query=%EB%94%94%EC%96%B4%EB%A7%88%EC%9D%B4%EC%98%A4%EB%B8%90
130,극한수산,76,대게요리,https://store.naver.com/restaurants/detail?entry=ple&id=36878527&query=%EA%B7%B9%ED%95%9C%EC%88%98%EC%82%B0
131,수라냉면,74,냉면,https://store.naver.com/restaurants/detail?entry=ple&id=20628441&query=%EC%88%98%EB%9D%BC%EB%83%89%EB%A9%B4
132,여수동치즈갈매기 천호점,73,돼지고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=37453583&query=%EC%97%AC%EC%88%98%EB%8F%99%EC%B9%98%EC%A6%88%EA%B0%88%EB%A7%A4%EA%B8%B0%20%EC%B2%9C%ED%98%B8%EC%A0%90
133,스파게티스토리 천호점,73,스파게티스토리,https://store.naver.com/restaurants/detail?entry=ple&id=1373181011&query=%EC%8A%A4%ED%8C%8C%EA%B2%8C%ED%8B%B0%EC%8A%A4%ED%86%A0%EB%A6%AC%20%EC%B2%9C%ED%98%B8%EC%A0%90
